Country,Cost of living,Year
Austria,2892.07944,2018
Azerbaijan,1118.91874,2018
Bahamas,2043.4095,2018
Bahrain,2040.635495,2018
Bangladesh,1104.685355,2018
Belarus,1313.5376649999998,2018
Belgium,3012.3340749999998,2018
Belize,1080.9795,2018
Bolivia,863.3505,2018
Bosnia And Herzegovina,1452.223765,2018
Brazil,1672.7372249999999,2018
Bulgaria,1531.550465,2018
Cambodia,1248.4595,2018
Canada,2726.810945,2018
Chile,2116.93287,2018
China,1705.8915200000001,2018
Colombia,1359.6544549999999,2018
Costa Rica,2104.78039,2018
Croatia,2042.6867550000002,2018
Cyprus,2350.23809,2018
Czech Republic,1875.482905,2018
Denmark,3373.517645,2018
Dominican Republic,1894.1289299999999,2018
Ecuador,1661.854865,2018
Egypt,982.1036900000001,2018
El Salvador,921.4561550000001,2018
Estonia,2067.8513249999996,2018
Fiji,726.2185,2018
Finland,2930.1742799999997,2018
France,3097.63557,2018
Georgia,1274.3712300000002,2018
Germany,2774.85724,2018
Ghana,274.935,2018
Greece,2299.89062,2018
Guatemala,1435.007245,2018
Hong Kong,3068.72832,2018
Hungary,1776.469125,2018
Iceland,4478.872475,2018
India,1061.22956,2018
Indonesia,1455.072405,2018
Iran,1450.105075,2018
Iraq,1508.91304,2018
Ireland,3135.37894,2018
Israel,3048.9708199999995,2018
Italy,2788.4102199999998,2018
Jamaica,1271.2226500000002,2018
Japan,3313.201905,2018
Jordan,2137.598365,2018
Kazakhstan,1371.326305,2018
Kenya,1585.871505,2018
Kosovo (Disputed Territory),1012.86983,2018
Kuwait,1765.20923,2018
Latvia,2019.5212150000002,2018
Lebanon,2338.1222000000002,2018
Lithuania,1886.4929499999998,2018
Luxembourg,2565.6904999999997,2018
Macedonia,1294.791105,2018
Malaysia,1522.800185,2018
Malta,2518.2147250000003,2018
Mauritius,1128.741225,2018
Mexico,1305.742325,2018
Moldova,1187.4270000000001,2018
Montenegro,1585.0032049999998,2018
Morocco,1323.71009,2018
Namibia,1124.5040800000002,2018
Nepal,1199.3872099999999,2018
Netherlands,3048.5566049999998,2018
New Zealand,2992.9960949999995,2018
Nigeria,1155.598705,2018
Norway,4250.639370000001,2018
Oman,1687.40947,2018
Pakistan,1001.2784550000001,2018
Panama,2085.35328,2018
Peru,1542.58228,2018
Philippines,1339.93046,2018
Poland,1594.0976,2018
Portugal,2048.06505,2018
Puerto Rico,2451.8476549999996,2018
Qatar,2302.17244,2018
Romania,1500.3275399999998,2018
Russia,1527.204875,2018
Saudi Arabia,1931.63584,2018
Serbia,1484.516345,2018
Singapore,2758.48411,2018
Slovakia,1884.1549300000001,2018
Slovenia,2167.86189,2018
South Africa,1857.36699,2018
South Korea,3215.19393,2018
Spain,2266.4888300000002,2018
Sri Lanka,1418.0069349999999,2018
Sweden,2967.53698,2018
Switzerland,4863.462695,2018
Taiwan,2179.757385,2018
Tanzania,1248.2322,2018
Thailand,1829.991405,2018
Trinidad And Tobago,1571.54736,2018
Tunisia,1098.80589,2018
Turkey,1482.980275,2018
Uganda,732.476,2018
Ukraine,1142.97394,2018
United Arab Emirates,2296.17431,2018
United Kingdom,2781.6957749999997,2018
United States,2826.855595,2018
Uruguay,2349.946675,2018
Uzbekistan,934.3995,2018
Venezuela,1011.64184,2018
Vietnam,1416.593885,2018
Zimbabwe,2049.714,2018
Albania,1475.16296,2019
Algeria,1104.0297150000001,2019
Argentina,1547.585985,2019
Armenia,791.88,2019
Australia,3015.915325,2019
Austria,2807.8008899999995,2019
Azerbaijan,1275.11978,2019
Bahrain,2299.137655,2019
Bangladesh,1191.37179,2019
Belarus,1422.3792,2019
Belgium,2876.05253,2019
Bolivia,1215.0911700000001,2019
Bosnia And Herzegovina,1488.702065,2019
Brazil,1622.5992800000001,2019
Brunei,684.744,2019
Bulgaria,1521.20931,2019
Cambodia,1550.642,2019
Canada,2682.93372,2019
Chile,1925.92923,2019
China,1606.5146399999999,2019
Colombia,1242.8892150000001,2019
Costa Rica,2128.230085,2019
Croatia,1988.734055,2019
Cyprus,2334.156815,2019
Czech Republic,1839.829235,2019
Denmark,3332.679175,2019
Dominican Republic,1717.797685,2019
Ecuador,1582.04237,2019
Egypt,1081.291725,2019
El Salvador,735.5070000000001,2019
Estonia,2103.641825,2019
Ethiopia,1363.4339049999999,2019
Finland,2811.3809,2019
France,3106.09717,2019
Georgia,1195.2782199999997,2019
Germany,2708.395765,2019
Greece,2240.53315,2019
Guatemala,991.5156099999999,2019
Honduras,1332.42677,2019
Hong Kong,2937.093135,2019
Hungary,1701.75524,2019
Iceland,4047.24918,2019
India,1060.45299,2019
Indonesia,1384.89201,2019
Iran,1546.26877,2019
Iraq,1501.7897899999998,2019
Ireland,3115.17404,2019
Israel,3122.713985,2019
Italy,2762.93122,2019
Jamaica,1164.3,2019
Japan,3430.405785,2019
Jordan,2040.881085,2019
Kazakhstan,1231.30863,2019
Kenya,1624.973825,2019
Kosovo (Disputed Territory),1137.231785,2019
Kuwait,1697.36375,2019
Latvia,1915.6453900000001,2019
Lebanon,2519.09076,2019
Lithuania,1749.048995,2019
Luxembourg,2949.7650000000003,2019
